Open,High,Low,Close,Volume,Buy,Sell,Avg,Wlc,DifAW,NextAvgl
8750.99,8794.29,8746.54,8789.92,615.018017,111.50720200000018,104.51073700000003,8770.435,8780.1675,9.732500000000073,8794.6275
8789.85,8807.66,8785.0,8796.0,708.837812,50.084502,76.732188,8794.6275,8796.165,1.5375000000003638,8817.92
8796.01,8848.1,8785.77,8841.8,1774.928539,269.259496,226.45475399999998,8817.92,8829.3675,11.447500000000218,8855.0525
8841.8,8879.5,8839.2,8859.71,1547.019612,163.25383099999988,156.77999099999994,8855.0525,8859.529999999999,4.477499999999054,8866.150000000001
8859.91,8880.0,8844.7,8879.99,957.76632,158.36861899999997,164.46414300000004,8866.150000000001,8871.17,5.019999999998618,8866.645
8880.0,8884.4,8845.36,8856.82,799.782113,104.58858399999997,72.37661899999996,8866.645,8860.85,-5.795000000000073,8852.255
8856.97,8859.99,8832.89,8859.17,535.157112,65.78213,60.15460899999998,8852.255,8852.805,0.5500000000010914,8861.725
8859.62,8873.59,8840.27,8873.42,360.236552,84.86523099999997,50.14908300000001,8861.725,8865.175,3.4499999999989086,8865.8025
8872.58,8880.54,8855.0,8855.09,425.604055,27.914889999999982,69.09072499999998,8865.8025,8861.43,-4.372499999999491,8862.6275
8855.14,8874.43,8855.0,8865.94,317.040551,34.983117,53.390888999999994,8862.6275,8865.3275,2.6999999999989086,8896.602499999999
8865.88,8930.0,8861.0,8929.53,1603.765686,131.524666,114.72655499999999,8896.602499999999,8912.515,15.912500000000364,8926.2025
8929.98,8941.53,8913.41,8919.89,700.927173,110.86473599999998,70.14552400000002,8926.2025,8923.68,-2.522499999999127,8918.0725
8919.87,8933.86,8896.68,8921.88,602.03952,107.496253,68.97433399999997,8918.0725,8918.575,0.5025000000005093,8919.949999999999
8921.31,8929.94,8908.55,8920.0,319.410647,66.08179999999999,35.457964000000004,8919.949999999999,8919.6225,-0.3274999999994179,8904.2725
8920.0,8938.0,8871.04,8888.05,853.717915,201.47931,245.8466029999999,8904.2725,8896.285,-7.987499999999272,8879.529999999999
8888.05,8894.2,8866.05,8869.82,443.725243,65.39233900000002,77.17029899999999,8879.529999999999,8874.9725,-4.557499999998981,8874.490000000002
8869.68,8888.33,8862.0,8877.95,489.127693,52.219565999999986,54.640202,8874.490000000002,8876.5575,2.0674999999991996,8886.0625
8878.03,8897.99,8872.02,8896.21,482.720444,71.408222,187.86326400000007,8886.0625,8890.6075,4.545000000000073,8895.5775
8896.39,8906.68,8886.55,8892.69,440.876202,54.615054000000036,82.54715699999998,8895.5775,8894.6525,-0.9249999999992724,8896.18
8892.94,8910.96,8889.36,8891.46,356.99961,38.576114000000004,56.36953100000001,8896.18,8895.81,-0.37000000000080036,8898.085
8891.46,8911.0,8886.64,8903.24,309.039323,37.79502400000001,46.46121000000001,8898.085,8901.029999999999,2.944999999999709,8902.79
8903.8,8911.68,8891.81,8903.87,314.15645,36.03486199999999,34.923766,8902.79,8902.807499999999,0.01749999999810825,8907.275
8904.67,8919.28,8889.74,8915.41,273.716318,59.033043,54.89952,8907.275,8909.96,2.6849999999994907,8921.45
8916.4,8934.0,8913.03,8922.37,507.125281,67.57581799999997,73.31655099999999,8921.45,8922.942500000001,1.492500000000291,8929.3275
8922.31,8942.0,8921.7,8931.3,507.976014,58.44309200000002,50.20552400000002,8929.3275,8931.575,2.2475000000013097,8916.84
8931.85,8933.29,8897.19,8905.03,540.361986,71.30914699999998,80.134983,8916.84,8910.135000000002,-6.704999999998108,8909.6375
8905.1,8925.0,8900.0,8908.45,375.759319,63.07718299999998,43.935323000000004,8909.6375,8910.475,0.8374999999996362,8915.9675
8908.44,8926.06,8906.38,8922.99,318.902592,46.587832,44.167844,8915.9675,8919.605,3.6374999999989086,8921.5025
8923.0,8930.0,8916.01,8917.0,410.435799,45.25799999999999,44.283748999999986,8921.5025,8920.0025,-1.5,8907.74
8917.0,8917.02,8898.01,8898.93,410.717812,54.71229600000001,75.74738299999997,8907.74,8903.2225,-4.517499999999927,8897.6325
8898.84,8914.51,8880.0,8897.18,527.160283,159.52283200000005,139.2786510000001,8897.6325,8897.2175,-0.4149999999990541,8894.0225
8897.05,8903.99,8880.0,8895.05,438.342899,52.23574400000001,59.295051,8894.0225,8893.5225,-0.5,8900.397500000001
8895.24,8913.95,8891.36,8901.04,388.68808,55.36031199999995,108.04743899999997,8900.397500000001,8901.8475,1.4499999999989086,8905.2975
8901.05,8914.62,8900.07,8905.45,359.178934,54.386712,43.87245599999999,8905.2975,8906.397500000001,1.1000000000003638,8900.665
8905.73,8907.69,8891.81,8897.43,386.847819,65.69570200000004,97.93466199999997,8900.665,8898.59,-2.0750000000007276,8909.9275
8897.43,8922.62,8897.05,8922.61,343.232314,81.58332099999998,60.199681,8909.9275,8916.2225,6.295000000000073,8923.6075
8922.17,8931.99,8910.0,8930.27,483.629259,71.18914099999999,78.47022199999996,8923.6075,8925.6325,2.024999999999636,8982.884999999998
8930.39,9057.0,8922.63,9021.52,2503.324017,1199.5487979999975,806.4521610000011,8982.884999999998,9005.6675,22.782500000001164,9044.73
9022.86,9079.0,9018.73,9058.33,1686.648245,267.37907000000007,329.189358,9044.73,9053.5975,8.867500000000291,9067.640000000001
9058.44,9097.86,9034.14,9080.12,1117.065603,277.04572099999996,210.5231809999999,9067.640000000001,9073.060000000001,5.420000000000073,9075.695
9080.08,9098.0,9057.0,9067.7,916.226138,157.6345679999999,151.6325029999999,9075.695,9072.6,-3.094999999999345,9062.465
