Open,Close,Buy,Sell,DirVela,Avg,Rsi,RsiOver,MacdDif,Atr
8523.61,8552.76,58.92780000000002,122.0241320000001,1.0,8536.6775,,0.0,-1.0,
8555.3,8548.25,23.452597999999984,23.38561,-1.0,8548.355,,0.0,-1.0,
8548.89,8553.39,33.62639599999998,41.609043000000014,1.0,8556.0425,,0.0,-1.0,
8553.27,8558.72,23.04628899999999,13.264755000000008,1.0,8557.732499999998,,0.0,-1.0,
8559.79,8575.73,18.866318000000014,14.802536000000002,1.0,8567.43,,0.0,-1.0,
8575.8,8564.61,9.630982000000003,12.899640999999976,-1.0,8570.127499999999,,0.0,-1.0,
8564.59,8579.88,24.636747999999955,18.646142000000015,1.0,8573.515,,0.0,-1.0,
8578.45,8581.71,14.856341999999996,20.718232000000008,1.0,8578.557499999999,,0.0,-1.0,
8581.75,8592.16,23.661476999999994,17.514681999999997,1.0,8587.3675,,0.0,-1.0,
8593.94,8598.44,35.377106000000005,29.686581999999994,1.0,8598.885,,0.0,-1.0,
8598.44,8590.62,19.963725000000014,30.983823000000015,-1.0,8594.765000000001,,0.0,-1.0,
8591.35,8584.35,18.860151999999985,18.926928000000004,-1.0,8587.912499999999,,0.0,-1.0,
8584.29,8585.0,21.014642999999996,20.47178300000001,1.0,8583.145,,0.0,-1.0,
8584.98,8582.55,13.296243999999986,15.856330000000005,-1.0,8582.342499999999,,0.0,-1.0,
8582.56,8582.92,17.762945999999996,12.487959999999996,1.0,8581.672499999999,65.95767195767188,1.0,-1.0,15.960714285714078
8581.91,8597.68,6.850535999999998,6.209408999999999,1.0,8589.83,70.85928898922754,1.0,-1.0,16.26280612244869
8597.81,8598.61,9.931500999999997,21.866209,1.0,8596.8475,71.1412434776609,1.0,-1.0,15.697605685130952
8599.57,8594.61,12.599973000000004,16.710229000000005,-1.0,8596.0725,68.08968350148885,1.0,-1.0,15.237062421907313
8596.47,8592.93,11.446383,25.459993000000008,-1.0,8594.8075,66.79378646773996,1.0,-1.0,14.432272248913886
8592.93,8602.04,12.280510999999999,28.14367499999999,1.0,8598.225,70.11527132030488,1.0,-1.0,14.263538516848588
8600.47,8598.49,9.36244,26.729062999999996,-1.0,8599.3725,67.29063707962112,1.0,-1.0,13.571142908502368
8598.49,8589.25,15.760558000000001,55.911088999999976,-1.0,8591.625,60.46304003998932,0.0,-1.0,13.904632700752185
8589.28,8586.97,10.616120000000002,15.029356,-1.0,8586.845,58.875604213215574,0.0,-1.0,13.753587507841246
8586.1,8585.11,8.188069999999993,15.061153999999997,-1.0,8585.435,57.54820737530317,0.0,-1.0,13.234759828709713
8585.62,8586.33,13.770078000000003,7.298716000000003,1.0,8585.83,58.213681361161285,0.0,-1.0,12.760134126659029
8586.32,8599.01,13.248398000000005,5.9398480000000005,1.0,8592.7025,64.45110523341641,0.0,-1.0,12.817267403326335
8599.01,8603.68,19.873014999999977,22.831012000000012,1.0,8601.035,66.43811413630809,1.0,-1.0,13.06531973166023
8603.68,8608.66,14.834515999999995,9.482849000000002,1.0,8606.2225,68.46252112684338,1.0,-1.0,12.78851117939882
8607.83,8605.51,16.332879,17.283874000000004,-1.0,8606.3125,65.76053745293908,1.0,-1.0,12.427188952298874
8605.51,8603.42,6.086452,7.813124999999998,-1.0,8605.41,63.95694681837739,0.0,-1.0,12.011675455706138
8604.02,8604.02,13.936642000000004,12.541461000000004,0.0,8600.53,64.25999859224667,0.0,-1.0,12.280841494584319
8603.45,8597.15,9.016721999999998,9.027122999999996,-1.0,8599.805,58.22351721753881,0.0,-1.0,12.212209959256848
8597.48,8592.31,14.729087999999997,12.032369999999984,-1.0,8595.4375,54.34991242129151,0.0,-1.0,11.914194962167135
8592.17,8597.56,10.851329000000002,8.975492,1.0,8596.224999999999,57.641856261134606,0.0,-1.0,11.836752464869477
8597.53,8595.86,6.088902000000001,6.803813,-1.0,8597.1075,56.22789684850934,0.0,-1.0,11.76412728880735
8597.48,8591.14,9.464606000000003,8.222919000000001,-1.0,8595.4275,52.385618515119795,0.0,-1.0,11.695975339606917
8592.1,8572.22,12.25591,16.241946999999985,-1.0,8581.8125,40.45266524760758,0.0,-1.0,12.485548529634995
8571.69,8570.36,7.647780000000001,19.80779699999999,-1.0,8570.6775,39.50006611460245,0.0,-1.0,12.253723634661181
8570.4,8577.1,16.74911599999998,10.701685000000001,1.0,8573.6425,44.59183244000031,0.0,-1.0,12.122029089328228
8576.27,8575.5,9.934895999999995,4.688729,-1.0,8574.89,43.65260981134795,0.0,-1.0,11.692598440090539
8575.7,8574.48,6.353262,5.574381999999999,-1.0,8575.2325,43.030376515393,0.0,-1.0,11.223841408655574
8573.59,8574.01,4.1309190000000005,6.401737000000002,1.0,8574.2025,42.72814521231672,0.0,-1.0,10.682852736608721
8574.01,8560.81,8.913627999999994,17.188802000000006,-1.0,8566.775,35.24161109091583,0.0,-1.0,11.185506112565195
8562.49,8562.21,21.034926000000002,11.786584999999999,-1.0,8561.787499999999,36.51217353555886,0.0,-1.0,11.232969961667706
8562.46,8556.25,19.907123999999996,37.67969400000002,-1.0,8558.869999999999,33.49893262333227,-1.0,-1.0,11.625614964405697
8556.25,8546.17,15.237669999999998,13.337410999999998,-1.0,8552.4375,29.12159292258322,-1.0,-1.0,11.875928181233805
8546.33,8538.82,14.536424000000002,34.22626099999999,-1.0,8543.735,26.41150194101852,-1.0,-1.0,12.06979045400283
8538.53,8537.48,22.412615999999993,13.972675000000004,-1.0,8539.95,25.937586939110695,-1.0,-1.0,12.192662564431261
