data,Open,High,Low,Close,Volume,Buy,Sell,Avg,Wlc,DifAW
2020-04-23 11:14,7089.23,7100.0,7088.01,7096.21,97.842969,47.48476000000002,50.358209,7093.3625,7095.1075,1.7449999999998909
2020-04-23 11:19,7096.3,7096.66,7085.54,7088.79,91.682525,37.294883999999996,54.387641,7091.8225,7089.945,-1.8775000000005093
2020-04-23 11:24,7088.56,7089.58,7078.0,7080.75,99.070648,43.899039000000016,55.17160899999999,7084.222500000001,7082.27,-1.9525000000003274
2020-04-23 11:29,7080.61,7092.11,7080.49,7090.0,65.098187,27.955644000000003,37.14254300000002,7085.8025,7088.15,2.3474999999998545
2020-04-23 11:34,7090.01,7091.95,7074.08,7076.0,202.090132,115.10888000000003,86.98125199999998,7083.01,7079.5075,-3.5025000000005093
2020-04-23 11:39,7076.0,7078.85,7071.38,7075.39,63.243861,24.238316999999995,39.00554400000001,7075.405,7075.2525000000005,-0.15249999999923602
2020-04-23 11:44,7075.8,7085.25,7070.02,7083.21,146.023492,90.684707,55.338785,7078.57,7080.422500000001,1.8525000000008731
2020-04-23 11:49,7083.36,7083.36,7071.77,7072.43,95.445449,28.385018000000002,67.060431,7077.7300000000005,7074.9975,-2.7325000000000728
2020-04-23 11:54,7072.43,7076.45,7063.77,7071.66,224.902262,113.07605000000007,111.826212,7071.0775,7070.885,-0.19250000000010914
2020-04-23 11:59,7071.75,7073.99,7058.12,7062.57,230.664648,109.75393700000005,120.91071100000002,7066.6075,7064.3125,-2.2950000000000728
2020-04-23 12:04,7062.22,7073.98,7059.37,7069.7,236.979498,84.33130200000001,152.64819599999993,7066.3175,7068.1875,1.8699999999998909
2020-04-23 12:09,7069.88,7078.21,7069.87,7077.13,152.255317,100.51820099999999,51.737116,7073.7725,7075.585,1.8125
2020-04-23 12:14,7076.58,7077.0,7072.0,7072.0,76.853644,49.02597399999998,27.827669999999998,7074.395,7073.25,-1.1450000000004366
2020-04-23 12:19,7072.01,7073.64,7064.46,7071.55,113.131098,69.616986,43.51411200000004,7070.415000000001,7070.3,-0.11500000000069122
2020-04-23 12:24,7071.6,7079.86,7067.03,7077.53,231.785962,106.29719799999998,125.43876400000002,7074.004999999999,7075.487499999999,1.4825000000000728
2020-04-23 12:29,7077.61,7084.24,7075.11,7082.83,80.957288,48.99796,31.959328000000014,7079.9475,7081.2525,1.3049999999993815
2020-04-23 12:34,7082.83,7098.0,7078.61,7091.02,182.037999,97.27419799999998,84.76380100000003,7087.615,7089.6625,2.047500000000582
2020-04-23 12:39,7091.02,7097.0,7089.5,7094.93,311.088821,186.04371300000014,125.04510800000003,7093.1125,7094.09,0.9774999999999636
2020-04-23 12:44,7094.93,7137.56,7090.86,7124.78,789.499422,498.80649999999997,290.69292199999995,7112.0325,7119.495,7.462499999999636
2020-04-23 12:49,7124.87,7144.0,7124.23,7134.45,777.450222,501.3147729999997,276.1354489999999,7131.8875,7134.282499999999,2.394999999999527
2020-04-23 12:54,7133.65,7136.98,7121.0,7128.9,271.200374,147.69387899999987,123.50649499999997,7130.1325,7128.945,-1.1875
2020-04-23 12:59,7128.9,7134.99,7121.01,7133.39,271.401504,125.45244100000001,145.94906300000005,7129.5725,7130.695,1.1224999999994907
2020-04-23 13:04,7133.89,7149.99,7125.89,7138.51,484.278842,299.94664100000017,184.33220099999997,7137.07,7138.225,1.1550000000006548
2020-04-23 13:09,7138.71,7139.41,7108.23,7119.29,304.783841,139.11615199999994,165.66768899999997,7126.41,7121.555,-4.854999999999563
2020-04-23 13:14,7119.0,7126.97,7119.0,7124.07,117.583572,63.65066100000003,53.932910999999976,7122.26,7123.5275,1.2674999999999272
2020-04-23 13:19,7124.07,7133.9,7123.16,7129.02,208.739731,119.19179999999996,89.54793099999998,7127.5375,7128.775,1.2374999999992724
2020-04-23 13:24,7129.02,7150.0,7129.02,7149.0,503.836714,370.3617430000002,133.47497100000004,7139.26,7144.255,4.994999999999891
2020-04-23 13:29,7148.99,7168.83,7148.99,7154.26,1060.483492,603.6687060000002,456.15763000000004,7155.2675,7156.585,1.3175000000001091
2020-04-23 13:34,7154.07,7161.69,7147.03,7153.01,256.403755,128.19225400000005,128.21150100000006,7153.95,7153.6849999999995,-0.2650000000003274
2020-04-23 13:39,7153.03,7168.2,7145.25,7168.2,283.617701,192.55195200000014,91.06574899999998,7158.67,7162.4625,3.7924999999995634
2020-04-23 13:44,7168.25,7179.87,7162.0,7168.55,513.529443,259.7910620000001,253.73838099999995,7169.6675,7169.7425,0.0750000000007276
2020-04-23 13:49,7168.5,7178.96,7161.17,7166.04,339.227021,169.04969800000003,170.17732299999992,7168.6675000000005,7168.0525,-0.6150000000006912
2020-04-23 13:54,7166.6,7167.99,7158.66,7158.83,187.039298,72.84953499999996,114.18976299999993,7163.02,7161.077499999999,-1.9425000000010186
2020-04-23 13:59,7158.98,7175.0,7158.56,7167.7,272.954962,171.803997,101.15096499999997,7165.06,7167.24,2.1799999999993815
2020-04-23 14:04,7168.13,7172.28,7149.66,7151.58,262.324763,99.20074300000003,163.12401999999997,7160.412499999999,7156.275,-4.137499999999818
2020-04-23 14:09,7150.39,7158.0,7149.67,7155.1,150.524391,81.845927,68.67846399999999,7153.29,7154.467500000001,1.1775000000006912
2020-04-23 14:14,7155.12,7169.91,7155.01,7160.21,169.101865,99.17719000000001,69.92467500000001,7160.0625,7161.335,1.2725000000000364
2020-04-23 14:19,7160.22,7163.6,7150.27,7152.91,196.510796,72.22803,124.28276599999995,7156.75,7154.922500000001,-1.827499999999418
2020-04-23 14:24,7153.28,7163.71,7152.54,7163.63,147.78673,102.53131000000013,45.255419999999994,7158.29,7160.8775000000005,2.5875000000005457
2020-04-23 14:29,7163.09,7170.0,7160.0,7161.84,144.586961,55.28536199999998,89.30159900000001,7163.7325,7163.42,-0.3125
2020-04-23 14:34,7162.44,7178.3,7152.0,7174.69,528.201507,337.09277400000013,191.10873299999994,7166.857499999999,7169.92,3.0625000000009095
2020-04-23 14:39,7174.41,7240.0,7174.33,7215.88,3066.066289,2054.9193850000033,1011.1469039999997,7201.155,7211.5225,10.367500000000291
2020-04-23 14:44,7215.88,7223.85,7202.95,7212.71,549.667374,259.24089499999997,290.426479,7213.8475,7213.055,-0.7924999999995634
2020-04-23 14:49,7212.71,7222.78,7202.03,7222.33,406.76041,198.53000500000002,208.23040500000008,7214.9625,7217.3675,2.405000000000655
2020-04-23 14:54,7222.19,7250.0,7214.78,7249.66,851.18671,557.0083800000001,294.17832999999996,7234.157499999999,7241.025,6.867500000000291
2020-04-23 14:59,7249.66,7250.0,7226.02,7233.68,740.346493,367.56828499999983,372.77820800000006,7239.84,7235.845,-3.994999999999891
2020-04-23 15:04,7233.69,7288.38,7233.69,7288.22,1644.492133,1065.6170529999984,578.8750799999997,7260.995,7274.6275000000005,13.632500000000618
2020-04-23 15:09,7287.95,7383.0,7286.04,7366.0,4149.433521,2536.474728000004,1612.9555330000003,7330.7475,7350.26,19.512499999999818
2020-04-23 15:14,7367.24,7373.0,7345.09,7349.99,1410.224439,529.0011669999994,881.2232719999997,7358.83,7354.5175,-4.3125
2020-04-23 15:19,7349.94,7411.0,7349.13,7410.99,1741.971964,1096.9665650000004,645.0053989999994,7380.265,7395.5275,15.262499999999818
2020-04-23 15:24,7411.0,7738.0,7402.39,7590.69,7619.679016,4503.85756,3115.823956000001,7535.5199999999995,7580.442499999999,44.92249999999967
2020-04-23 15:29,7590.06,7616.6,7477.09,7524.82,3635.601508,1810.2359020000004,1825.3656059999994,7552.142500000001,7535.8325,-16.3100000000004
