Open,Close,DirVela,Avg,Rsi,RsiOver,MacdDif,Atr
6773.49,6798.83,1.0,6786.342499999999,,0.0,,
6798.77,6783.25,-1.0,6789.5375,,0.0,,
6783.6,6779.33,-1.0,6778.9725,,0.0,,
6779.11,6784.8,1.0,6779.6175,,0.0,,
6784.8,6772.78,-1.0,6779.589999999999,,0.0,,
6772.78,6788.21,1.0,6781.4974999999995,,0.0,,
6787.64,6835.1,1.0,6820.2775,,0.0,,
6834.66,6840.79,1.0,6830.5325,,0.0,,
6840.79,6865.85,1.0,6851.5825,,0.0,,
6866.59,6847.19,-1.0,6859.285,,0.0,,
6847.68,6834.81,-1.0,6843.2325,,0.0,,
6834.83,6835.24,1.0,6837.057500000001,,0.0,,
6835.26,6841.36,1.0,6837.905000000001,,0.0,,
6842.05,6839.42,-1.0,6841.617499999999,,0.0,,
6839.42,6827.88,-1.0,6833.360000000001,58.01910230221392,0.0,,35.64500000000011
6828.46,6817.41,-1.0,6820.0925,54.61905352081139,0.0,,35.404642857143
6817.41,6824.99,1.0,6821.464999999999,56.601912994427664,0.0,,34.2643112244899
6825.05,6835.63,1.0,6832.2875,59.29077391391875,0.0,,33.306146137026296
6835.55,6841.31,1.0,6839.315,60.69094699955129,0.0,,31.955707127238675
6840.96,6845.03,1.0,6843.1849999999995,61.621949979840885,0.0,,30.61958518957877
6845.02,6843.82,-1.0,6841.415,61.11492091224978,0.0,,29.49104339032312
6843.83,6889.61,1.0,6868.067499999999,70.87971346304093,1.0,,31.040254576728636
6888.88,6894.86,1.0,6898.1675000000005,71.75547849342114,1.0,,32.950950678390875
6895.23,6924.88,1.0,6916.29,76.16887175249913,1.0,,34.593739915648655
6924.88,6941.63,1.0,6936.55,78.21436235387696,1.0,,35.376329921673765
6941.76,6928.64,-1.0,6940.174999999999,72.98256369091997,1.0,,37.54230635583991
6927.41,6929.79,1.0,6931.335,73.15377055938926,1.0,,36.67499875899424
6930.18,6952.01,1.0,6944.2125,76.2812835880119,1.0,,36.53892741906611
6951.32,6994.49,1.0,6971.952499999999,80.8696993439192,1.0,,38.07186117484711
6994.49,6984.41,-1.0,6988.4025,77.0602458381317,1.0,,39.03887109092943
6985.29,7011.8,1.0,7003.610000000001,79.83930915909613,1.0,,40.54966601300594
7011.55,7080.01,1.0,7050.777499999999,84.7832416116817,1.0,,43.97111844064836
7080.0,7079.0,-1.0,7071.255,84.45299362781535,1.0,,44.11746712345922
7078.99,7032.06,-1.0,7060.380000000001,70.67456485186621,1.0,17.162921790059045,45.98836232892644
7032.06,7011.34,-1.0,7005.6225,65.58782828334864,1.0,11.90422149384976,50.27133644828889
7011.74,7058.25,1.0,7035.907499999999,70.72509348518456,1.0,10.545750068358608,50.44052670198256
7059.25,7031.54,-1.0,7045.615,64.79383653170684,0.0,6.980787548088003,50.004060508983805
7030.48,7078.77,1.0,7055.2975,69.64197931877459,1.0,6.92248781836728,50.27234190119926
7080.13,7074.08,-1.0,7069.7825,68.63128823972929,1.0,5.735961703156889,49.467174622542174
7074.2,7050.91,-1.0,7060.5275,63.711956161426016,0.0,2.7120609621610683,49.71951929236059
7050.76,7038.95,-1.0,7037.6175,61.27062805570907,0.0,-0.5957380489421027,49.090267914334824
7038.95,7078.49,1.0,7060.6075,65.92000636447946,1.0,-0.62011121155696,49.87596306331092
7078.86,7123.16,1.0,7104.95,70.26323002995949,1.0,1.7435789928625027,50.75767998736016
7123.16,7136.24,1.0,7124.320000000001,71.41210137719898,1.0,3.4601785357206865,49.837845702548734
7136.24,7102.94,-1.0,7118.795,64.57227802170162,0.0,1.7134575088900093,50.56371386665239
7102.94,7114.0,1.0,7106.349999999999,65.74577714295951,1.0,0.7146064978854412,50.49059144760579
7113.99,7114.99,1.0,7109.717499999999,65.85480410239254,1.0,-0.40740526273124544,48.64483491563398
7114.32,7113.62,-1.0,7120.465,65.54390308924495,1.0,-1.6974752122639174,48.11020385023154
7112.92,7077.13,-1.0,7095.27,57.72673184759083,0.0,-5.26266064419012,48.163046432357824
7076.39,7108.66,1.0,7091.7625,61.949633444886075,0.0,-5.714079311625518,47.43711454433226
7108.87,7115.24,1.0,7109.7475,62.7851367472275,0.0,-5.769412351943565,45.82446350545136
7115.39,7098.49,-1.0,7107.219999999999,59.22034735014472,0.0,-7.049302384315112,44.33700182649055
7098.36,7099.0,1.0,7096.045,59.29612703855294,0.0,-7.91206740172678,42.934358838884066
7099.01,7111.51,1.0,7109.75,61.20073087433898,0.0,-7.6843138050833915,42.353333207535215
7111.5,7112.86,1.0,7108.9425,61.410575746766526,0.0,-7.4796745105543465,40.571666549854115
7113.73,7145.91,1.0,7133.16,66.22643805870126,1.0,-5.260182708550033,41.45940465343597
7145.92,7134.54,-1.0,7139.692500000001,63.29971775464897,0.0,-4.716961423199258,41.89444717819055
7134.38,7132.89,-1.0,7136.195000000001,62.86553695389557,0.0,-4.62181197880448,40.506986665462605
7131.86,7141.6,1.0,7140.1875,64.25918214972957,0.0,-4.140808133281773,39.950059046500996
7141.75,7090.01,-1.0,7103.445,51.84740073559328,0.0,-7.281940629648119,45.80934054317947
7090.01,7098.19,1.0,7094.9825,53.38484203861636,0.0,-8.697715874671552,44.98510193295239
7098.19,7084.96,-1.0,7094.287499999999,50.57239990031791,0.0,-10.304365670967144,44.91473750917008
7084.96,7072.89,-1.0,7078.535,48.08357418149916,0.0,-11.848914477208904,44.467256258515114
7074.41,7090.87,1.0,7080.5725,51.882421076598604,0.0,-11.328844914708732,44.21888081147831
