Open,Close,Buy,Sell,DirVela,Avg,Rsi,RsiOver,MacdDif,Atr
6858.51,6858.01,7.773662,8.625433,-1.0,6858.630000000001,,0.0,-1.0,
6858.71,6856.89,2.9392979999999995,11.598259999999993,-1.0,6857.5025,,0.0,-1.0,
6856.9,6855.99,5.695553999999999,18.184192999999993,-1.0,6856.105,,0.0,-1.0,
6855.99,6857.94,8.686907999999999,6.5798239999999995,1.0,6856.4825,,0.0,-1.0,
6857.94,6854.46,5.328706000000001,12.244235999999995,-1.0,6855.9725,,0.0,-1.0,
6854.52,6854.68,1.9093370000000003,4.597883000000001,1.0,6854.3425,,0.0,-1.0,
6854.39,6854.05,3.9443619999999995,3.1100839999999996,-1.0,6854.4974999999995,,0.0,-1.0,
6854.09,6851.95,2.0815319999999997,6.780219000000001,-1.0,6853.4375,,0.0,-1.0,
6851.95,6851.13,2.3070869999999997,22.206747999999973,-1.0,6851.695000000001,,0.0,-1.0,
6851.13,6858.94,15.677928999999997,7.7899179999999975,1.0,6855.7025,,0.0,-1.0,
6858.94,6858.47,4.6805379999999985,4.647034999999999,-1.0,6858.89,,0.0,-1.0,
6858.38,6857.83,4.274196,2.02702,-1.0,6858.195000000001,,0.0,-1.0,
6857.38,6858.44,2.0359809999999996,1.2011349999999998,1.0,6858.08,,0.0,-1.0,
6858.64,6859.02,2.3577310000000002,2.463944,1.0,6858.6925,,0.0,-1.0,
6858.39,6854.22,3.4825459999999993,5.656450000000002,-1.0,6856.18,42.74779946421748,0.0,-1.0,4.0142857142858315
6854.02,6851.04,4.4814,4.852709999999999,-1.0,6853.43,37.79443533484263,0.0,-1.0,4.197551020408267
6851.03,6856.42,11.749060000000002,3.865070000000001,1.0,6853.725,48.63792131534512,0.0,-1.0,4.282725947521985
6856.42,6853.35,8.753084,5.228183000000001,-1.0,6854.547500000001,43.93183574208418,0.0,-1.0,4.292531236984706
6853.35,6853.16,3.8744480000000006,2.4699769999999983,-1.0,6852.6175,43.65033966271207,0.0,-1.0,4.183064720057177
6853.44,6852.97,2.3691149999999994,2.475693999999999,-1.0,6853.315,43.35119671185512,0.0,-1.0,4.056417240053083
6852.87,6853.36,15.732048999999995,4.198764,1.0,6853.929999999999,44.19656848197707,0.0,-1.0,4.2059588657635505
6853.36,6854.13,5.315339000000001,2.8611720000000003,1.0,6853.547500000001,45.91274802012362,0.0,-1.0,4.112676089637621
6854.14,6853.14,4.590453000000001,3.4855959999999997,-1.0,6853.702499999999,44.03752109210416,0.0,-1.0,3.995342083234952
6853.27,6853.03,2.6521160000000004,0.9740190000000001,-1.0,6853.1525,43.823346349065275,0.0,-1.0,3.830674791575284
6853.06,6854.0,2.551283000000001,2.193058,1.0,6853.455000000001,46.303371804025204,0.0,-1.0,3.645626592177034
6854.0,6858.96,13.506165999999993,7.384717,1.0,6857.6025,56.80445027818642,0.0,-1.0,4.0602246927358046
6858.97,6861.99,7.7529049999999975,2.3161599999999996,1.0,6860.48,61.72835512628967,0.0,-1.0,3.98735150039753
6861.98,6860.23,4.2121319999999995,3.9308419999999993,-1.0,6860.4625,57.619729379291975,0.0,-1.0,4.091112107511964
6860.23,6858.26,8.087318999999997,2.787734,-1.0,6859.474999999999,53.340120197718086,0.0,-1.0,4.1238898141182
6858.25,6858.99,8.197713,6.045406000000001,1.0,6857.172500000001,54.68329500710236,0.0,-1.0,4.297183398824055
6858.99,6853.61,4.667123,17.082608999999998,-1.0,6856.217500000001,44.51326047103658,0.0,-1.0,4.398098870336625
6853.99,6860.41,40.38528499999997,10.619162000000003,1.0,6856.889999999999,55.722211957575986,0.0,-1.0,4.632520379598316
6860.41,6865.01,15.726112000000006,16.479270999999994,1.0,6863.625,61.402479510446526,0.0,-1.0,4.893054638198483
6865.01,6865.36,13.061920000000004,5.017424999999999,1.0,6865.67,61.80398896985917,0.0,1.0,4.8128364497557
6865.66,6865.44,1.3627839999999998,2.5659819999999995,-1.0,6865.1725,61.901544158914454,0.0,1.0,4.681205274773104
6865.21,6863.49,3.875243,2.2941750000000005,-1.0,6864.49,58.012161111009206,0.0,1.0,4.531119183717878
6863.48,6863.69,2.8698819999999996,1.9705179999999995,1.0,6863.5625,58.301548253771884,0.0,1.0,4.251753527738087
6863.68,6864.05,6.287866,4.610214999999997,1.0,6863.7,58.851302997888844,0.0,1.0,4.08591399004253
6864.05,6862.24,5.203507,2.6547419999999997,-1.0,6862.599999999999,54.93009261002169,0.0,1.0,4.080491562182365
6862.24,6856.26,4.016554999999998,14.678499999999998,-1.0,6858.9375,44.403485456670005,0.0,1.0,4.306885022026482
6856.27,6849.13,8.260854999999998,27.432621999999995,-1.0,6853.24,35.634946678937425,0.0,-1.0,4.664964663310284
6849.13,6849.07,18.570677000000014,35.180079000000006,-1.0,6847.8075,35.57128821385171,0.0,-1.0,4.901038615930996
6849.45,6849.14,16.054492000000007,17.91446999999999,-1.0,6848.68,35.715571925865625,0.0,-1.0,4.750250143364494
6849.14,6849.95,10.036779,3.526900000000001,1.0,6850.505,37.460837734889836,0.0,-1.0,4.743089418838433
6849.7,6849.58,8.431080999999999,4.388826000000002,-1.0,6849.482500000001,36.9671266477668,0.0,-1.0,4.592154460349981
6849.99,6851.25,18.148362999999993,7.341286000000004,1.0,6851.869999999999,40.761982969684794,0.0,-1.0,4.888429141753538
6851.59,6849.66,6.9584839999999994,17.059037,-1.0,6851.245,38.39205612119089,0.0,-1.0,4.862827060199696
6849.65,6853.24,16.065425,8.963605999999988,1.0,6851.577499999999,46.00424939171465,0.0,-1.0,4.826910841614045
