Open,High,Low,Close,Volume,Avg,Wlc,DifAW,NextAvgl
6865.0,6869.88,6850.0,6853.1,200.887619,6859.495000000001,6856.52,-2.975000000000364,6852.2125
6854.33,6861.94,6841.68,6850.9,233.606177,6852.2125,6851.355,-0.8575000000000728,6833.4275
6850.89,6850.9,6800.0,6831.92,716.976201,6833.4275,6828.6849999999995,-4.742500000000291,6827.360000000001
6831.06,6839.5,6811.51,6827.37,301.923405,6827.360000000001,6826.4375,-0.9225000000005821,6829.6925
6827.37,6838.27,6820.13,6833.0,218.703485,6829.6925,6831.1,1.4075000000002547,6837.8675
6833.59,6843.0,6833.59,6841.29,188.619678,6837.8675,6839.7925,1.9249999999992724,6828.9725
6840.89,6842.0,6815.0,6818.0,507.859408,6828.9725,6823.25,-5.7224999999998545,6816.9675
6818.0,6826.0,6809.0,6814.87,287.482768,6816.9675,6816.1849999999995,-0.7825000000002547,6803.474999999999
6814.87,6816.75,6788.1,6794.18,697.475577,6803.474999999999,6798.3025,-5.172499999999673,6798.1525
6793.75,6809.25,6792.58,6797.03,285.732681,6798.1525,6798.9725,0.819999999999709,6783.8975
6797.37,6797.69,6766.43,6774.1,641.04592,6783.8975,6778.08,-5.817500000000109,6768.775
6774.07,6785.0,6747.27,6768.76,672.244986,6768.775,6767.4475,-1.327499999999418,6773.9974999999995
6768.76,6783.8,6762.11,6781.32,556.96767,6773.9974999999995,6777.1375,3.1400000000003274,6779.317500000001
6782.01,6789.12,6770.13,6776.01,337.95386,6779.317500000001,6777.8175,-1.5000000000009095,6780.735000000001
6775.6,6798.32,6759.02,6790.0,394.107481,6780.735000000001,6784.335,3.5999999999994543,6798.575
6790.0,6811.76,6789.0,6803.54,270.972028,6798.575,6801.96,3.3850000000002183,6815.8675
6804.0,6840.0,6798.5,6820.97,571.747728,6815.8675,6820.110000000001,4.242500000000291,6803.4175
6820.97,6825.0,6781.21,6786.49,422.56924,6803.4175,6794.7975,-8.61999999999989,6780.512500000001
6786.49,6792.0,6754.97,6788.59,640.900401,6780.512500000001,6781.0375,0.5249999999996362,6781.9775
6788.59,6788.82,6767.98,6782.52,265.402746,6781.9775,6780.46,-1.5174999999999272,6768.097500000001
6782.81,6784.54,6744.0,6761.04,718.172663,6768.097500000001,6762.655000000001,-5.442500000000109,6767.57
6761.04,6781.95,6752.92,6774.37,411.576427,6767.57,6770.9025,3.3325000000004366,6771.2925
6774.43,6778.58,6755.0,6777.16,429.577585,6771.2925,6771.975,0.6825000000008004,6778.137500000001
6776.65,6784.93,6769.0,6781.97,279.358368,6778.137500000001,6779.467500000001,1.3299999999999272,6778.262500000001
6780.54,6793.75,6765.01,6773.75,327.433692,6778.262500000001,6776.5650000000005,-1.6975000000002183,6771.105
6773.9,6779.09,6758.21,6773.22,286.903358,6771.105,6770.9349999999995,-0.17000000000007276,6770.27
6773.56,6780.0,6750.02,6777.5,456.106708,6770.27,6771.255,0.9849999999996726,6784.2875
6777.83,6799.71,6774.81,6784.8,426.2637,6784.2875,6786.030000000001,1.742500000000291,6788.87
6785.21,6799.0,6780.0,6791.27,317.075074,6788.87,6790.385,1.5150000000003274,6786.6025
6791.89,6796.0,6775.59,6782.93,300.638789,6786.6025,6784.3625,-2.2399999999997817,6791.6075
6782.79,6805.25,6777.0,6801.39,256.909341,6791.6075,6796.2575,4.649999999999636,6812.4225
6801.77,6843.59,6794.0,6810.33,638.459291,6812.4225,6814.5625,2.1400000000003274,6789.6875
6810.32,6814.0,6764.0,6770.43,657.767136,6789.6875,6779.715,-9.972499999999854,6777.0075
6770.43,6800.0,6763.09,6774.51,539.771123,6777.0075,6778.0275,1.0200000000004366,6775.352500000001
6774.5,6789.06,6763.0,6774.85,529.193701,6775.352500000001,6775.4400000000005,0.0874999999996362,6777.1525
6774.16,6786.73,6770.0,6777.72,266.307652,6777.1525,6778.0425,0.8899999999994179,6773.755
6777.62,6785.85,6765.2,6766.35,275.279914,6773.755,6770.9375,-2.817500000000109,6758.9825
6766.07,6773.06,6745.87,6750.93,1027.945961,6758.9825,6755.1975,-3.7849999999998545,6775.845
6751.27,6818.76,6748.0,6785.35,1147.9172,6775.845,6784.365,8.519999999999527,6784.487499999999
6785.35,6790.42,6775.59,6786.59,264.734301,6784.487499999999,6784.797500000001,0.3100000000013097,6792.09
6786.49,6809.7,6781.67,6790.5,674.681084,6792.09,6793.0925,1.0024999999995998,6783.5225
6790.5,6791.4,6775.59,6776.6,353.131624,6783.5225,6780.047500000001,-3.4749999999994543,6778.52
6777.11,6791.41,6758.0,6787.56,490.972294,6778.52,6781.1325,2.6124999999992724,6780.7275
6787.37,6794.0,6768.5,6773.04,358.164919,6780.7275,6777.145,-3.582499999999527,6781.8949999999995
6773.05,6794.77,6769.74,6790.02,305.175284,6781.8949999999995,6786.137500000001,4.2425000000012005,6790.305
6790.02,6799.0,6783.2,6789.0,375.65414,6790.305,6790.05,-0.25500000000010914,6790.0825
6789.0,6796.99,6780.27,6794.07,210.389067,6790.0825,6791.35,1.2674999999999272,6795.922500000001
6794.83,6810.88,6785.97,6792.01,404.083682,6795.922500000001,6795.217500000001,-0.7049999999999272,6803.915
6792.3,6822.52,6791.23,6809.61,748.660961,6803.915,6808.2425,4.327500000000327,6802.5025000000005
6809.61,6815.0,6787.34,6798.06,637.032194,6802.5025000000005,6799.615,-2.8875000000007276,6791.605
6797.76,6799.98,6781.28,6787.4,385.018299,6791.605,6789.014999999999,-2.5900000000001455,6785.4175
6787.21,6794.42,6773.0,6787.04,396.114588,6785.4175,6785.375,-0.04249999999956344,6779.549999999999
6787.1,6787.1,6768.0,6776.0,415.236077,6779.549999999999,6776.775,-2.774999999999636,6775.7125
6776.01,6786.0,6768.0,6772.84,300.448732,6775.7125,6774.92,-0.7924999999995634,6775.602499999999
6772.74,6786.35,6764.0,6779.32,320.501545,6775.602499999999,6777.2474999999995,1.6450000000004366,6786.1900000000005
6779.17,6795.0,6778.11,6792.48,354.760446,6786.1900000000005,6789.5175,3.327499999999418,6790.275
6792.48,6795.54,6785.04,6788.04,219.82853,6790.275,6789.165,-1.1099999999996726,6789.727500000001
6788.04,6805.0,6781.13,6784.74,401.285111,6789.727500000001,6788.9025,-0.8250000000007276,6777.1449999999995
6783.64,6786.89,6765.0,6773.05,500.371909,6777.1449999999995,6774.4974999999995,-2.6475000000000364,6783.117499999999
6773.05,6795.83,6772.0,6791.59,350.671706,6783.117499999999,6787.7525000000005,4.635000000001128,6786.9974999999995
6791.58,6793.66,6780.23,6782.52,241.490437,6786.9974999999995,6784.7325,-2.264999999999418,6781.27
6782.9,6786.43,6770.0,6785.75,337.027843,6781.27,6781.9825,0.7124999999996362,6750.3375
6785.76,6785.76,6701.0,6728.83,2074.377508,6750.3375,6736.105,-14.232500000000073,6712.96
6728.89,6730.0,6677.52,6715.43,2617.593673,6712.96,6709.595,-3.3649999999997817,6717.0
6715.43,6733.23,6702.19,6717.15,662.730362,6717.0,6717.429999999999,0.42999999999938154,6767.775
6717.15,6840.0,6717.01,6796.94,2968.063849,6767.775,6787.7225,19.94750000000022,6790.4675
6797.64,6802.79,6777.54,6783.9,542.267645,6790.4675,6787.032499999999,-3.4350000000004,6791.545
6783.9,6814.62,6776.54,6791.12,559.738312,6791.545,6793.35,1.805000000000291,6801.8825
6790.78,6817.26,6790.33,6809.16,493.771786,6801.8825,6806.4775,4.595000000000255,6798.555
6809.16,6811.92,6780.0,6793.14,354.698146,6798.555,6794.55,-4.005000000000109,6799.3875
6794.02,6813.0,6791.2,6799.33,348.334362,6799.3875,6800.715,1.3275000000003274,6803.3575
6799.03,6811.75,6798.67,6803.98,360.150965,6803.3575,6804.594999999999,1.2374999999992724,6797.2425
6804.84,6808.79,6782.0,6793.34,379.951724,6797.2425,6794.3675,-2.875,6794.169999999999
6791.62,6802.07,6790.0,6792.99,183.71783,6794.169999999999,6794.5125,0.34250000000065484,6784.0625
6792.39,6794.53,6768.11,6781.22,586.421037,6784.0625,6781.27,-2.7924999999995634,6763.42
6781.52,6781.71,6745.04,6745.41,694.175319,6763.42,6754.3925,-9.027500000000146,6743.7525000000005
6746.99,6760.0,6721.63,6746.39,977.631165,6743.7525000000005,6743.602500000001,-0.1499999999996362,6754.6425
6746.39,6773.86,6745.0,6753.32,314.19716,6754.6425,6756.375,1.7325000000000728,6744.5075
6753.32,6754.7,6721.58,6748.43,553.962923,6744.5075,6743.285,-1.2224999999998545,6757.115
6748.43,6767.94,6747.0,6765.09,281.26084,6757.115,6761.28,4.164999999999964,6760.725
6765.53,6765.53,6751.85,6759.99,197.714516,6760.725,6759.34,-1.3850000000002183,6766.025
6759.9,6795.0,6751.2,6758.0,572.419342,6766.025,6765.55,-0.4749999999994543,6777.0175
6758.0,6800.0,6758.0,6792.07,621.343215,6777.0175,6785.535,8.517499999999927,6793.8275
6792.0,6810.0,6780.75,6792.56,557.323495,6793.8275,6793.967500000001,0.14000000000032742,6777.625
6792.52,6792.52,6751.98,6773.48,688.88355,6777.625,6772.865,-4.760000000000218,6786.342499999999
6773.49,6799.98,6773.07,6798.83,376.045104,6786.342499999999,6792.6775,6.335000000000946,6789.5375
6798.77,6805.0,6771.13,6783.25,476.092142,6789.5375,6785.6575,-3.880000000000109,6778.9725
6783.6,6784.87,6768.09,6779.33,175.284684,6778.9725,6777.905,-1.0675000000001091,6779.6175
6779.11,6788.84,6765.72,6784.8,373.249447,6779.6175,6781.040000000001,1.422500000000582,6779.589999999999
6784.8,6793.54,6767.24,6772.78,375.871723,6779.589999999999,6776.584999999999,-3.005000000000109,6781.4974999999995
6772.78,6800.0,6765.0,6788.21,517.848194,6781.4974999999995,6785.355,3.8575000000000728,6820.2775
6787.64,6874.97,6783.4,6835.1,2351.875913,6820.2775,6832.1425,11.864999999999782,6830.5325
6834.66,6856.27,6790.41,6840.79,1385.723848,6830.5325,6832.0650000000005,1.5325000000002547,6851.5825
6840.79,6872.0,6827.69,6865.85,913.711018,6851.5825,6857.8475,6.264999999999418,6859.285
6866.59,6888.0,6835.36,6847.19,1189.0951,6859.285,6854.4349999999995,-4.850000000000364,6843.2325
6847.68,6861.0,6829.44,6834.81,755.424546,6843.2325,6840.014999999999,-3.217500000000655,6837.057500000001
6834.83,6848.16,6830.0,6835.24,556.944587,6837.057500000001,6837.16,0.10249999999905413,6837.905000000001
6835.26,6845.0,6830.0,6841.36,456.056364,6837.905000000001,6839.43,1.5249999999996362,6841.617499999999
6842.05,6850.0,6835.0,6839.42,407.697837,6841.617499999999,6840.96,-0.6574999999993452,6833.360000000001
6839.42,6848.0,6818.14,6827.88,605.167505,6833.360000000001,6830.475,-2.8850000000002183,6820.0925
