Open,Close,High,Low,Buy,Sell,DirVela,Wlc,Rsi,RsiOver,MacdDif,Atr
7506.92,7501.71,7506.93,7501.01,5.276763000000001,3.998214,-1.0,7502.84,,0.0,-1.0,
7501.71,7500.65,7501.77,7499.0,4.179385999999999,14.902100999999993,-1.0,7500.5175,,0.0,-1.0,
7500.31,7501.03,7503.72,7499.0,9.839214999999996,5.571669000000002,1.0,7501.195,,0.0,-1.0,
7501.0,7499.0,7501.01,7499.0,0.46509900000000004,2.279018,-1.0,7499.5025000000005,,0.0,-1.0,
7499.0,7498.0,7499.56,7496.77,3.5928730000000004,7.963066,-1.0,7498.0825,,0.0,-1.0,
7498.11,7490.18,7498.22,7489.25,20.556929999999998,26.788186000000046,-1.0,7491.9575,,0.0,-1.0,
7490.18,7495.33,7496.69,7490.18,16.414440999999997,10.312224000000004,1.0,7494.3825,,0.0,-1.0,
7495.33,7491.76,7495.96,7484.54,25.32752600000001,22.240744999999986,-1.0,7491.005,,0.0,-1.0,
7491.76,7488.61,7492.07,7485.69,18.61198299999998,8.223224,-1.0,7488.744999999999,,0.0,-1.0,
7488.77,7490.49,7491.97,7487.44,22.80499400000001,13.01050099999999,1.0,7490.0975,,0.0,-1.0,
7490.62,7491.82,7493.15,7486.07,16.180427000000005,32.521401,1.0,7490.715,,0.0,-1.0,
7491.05,7488.83,7492.97,7488.08,18.291503000000016,5.013940000000003,-1.0,7489.6775,,0.0,-1.0,
7488.83,7492.0,7492.0,7486.7,14.761927000000012,4.467568,1.0,7490.675,,0.0,-1.0,
7492.0,7494.28,7496.74,7491.45,15.90316,7.845888999999994,1.0,7494.1875,,0.0,-1.0,
7494.69,7476.91,7495.01,7467.09,40.12160399999999,108.47443800000006,-1.0,7478.98,26.682963520119902,-1.0,-1.0,7.1857142857143765
7476.87,7485.29,7487.12,7472.07,28.059748999999986,15.788553000000016,1.0,7482.442499999999,37.31976355946859,0.0,-1.0,7.747448979591934
7486.02,7486.22,7488.12,7482.05,24.411691999999977,19.792026999999994,1.0,7485.6525,38.38806679096332,0.0,-1.0,7.627631195335347
7486.16,7482.47,7486.45,7480.1,11.407426000000006,4.319611000000008,-1.0,7482.8724999999995,35.74270920295178,0.0,-1.0,7.536371824239926
7482.73,7485.15,7486.53,7481.53,11.173342999999994,5.221065999999997,1.0,7484.59,38.979057579072354,0.0,-1.0,7.355202408222788
7485.2,7489.17,7490.0,7484.88,9.111829999999996,4.211773999999999,1.0,7488.305,43.57016619788243,0.0,-1.0,7.195545093349724
7489.04,7486.36,7489.18,7480.28,6.485194999999998,19.562343000000006,-1.0,7485.545,41.23473633559286,0.0,-1.0,7.317291872396211
7486.85,7488.0,7493.32,7486.28,17.265469000000003,16.87703299999999,1.0,7488.9,43.1500073533385,0.0,-1.0,7.297485310082194
7487.56,7486.16,7488.01,7484.4,8.215514999999996,4.039431999999999,-1.0,7486.1825,41.5151682806001,0.0,-1.0,7.034093502219221
7486.45,7485.47,7490.0,7485.45,5.931035,10.591045,-1.0,7486.5975,40.88953157397855,0.0,-1.0,6.856658252060718
7485.65,7493.43,7495.0,7485.16,15.417771999999987,17.492909,1.0,7491.755,50.21123773349058,0.0,-1.0,7.06975409119925
7494.04,7497.18,7497.18,7493.38,15.310956,4.974212,1.0,7496.2300000000005,53.89963943307493,0.0,-1.0,6.836200227542173
7496.79,7495.89,7499.0,7493.99,11.305231999999998,7.754089000000001,-1.0,7496.1925,52.45992075281938,0.0,-1.0,6.70575735414632
7495.9,7492.57,7496.75,7492.25,6.697547000000004,12.135251,-1.0,7493.535,48.843867009223615,0.0,-1.0,6.548203257421583
7492.63,7487.88,7498.2,7487.88,23.67207400000002,13.559449,-1.0,7490.46,44.20803296827046,0.0,-1.0,6.817617310462878
7487.89,7485.54,7487.89,7485.53,4.191332000000001,6.658370999999999,-1.0,7486.125,42.062944495340254,0.0,-1.0,6.499216074001285
7486.13,7490.5,7491.66,7485.0,5.0464249999999975,6.426051999999999,1.0,7489.415,47.84030613988685,0.0,-1.0,6.510700640144039
7489.65,7494.14,7496.3,7489.6,4.192772,8.164463999999997,1.0,7493.545,51.65068248896873,0.0,-1.0,6.524222022990881
7494.15,7496.38,7497.61,7494.12,3.7741780000000005,6.352084999999999,1.0,7496.1224999999995,53.88333948812777,0.0,-1.0,6.3074918784915175
7496.65,7497.6,7500.0,7496.6,36.347722000000026,2.8374189999999992,1.0,7497.950000000001,55.09946846848326,0.0,1.0,6.115528172884972
7497.59,7498.42,7499.91,7496.82,3.440974,2.8200670000000003,1.0,7498.3925,55.94047677520882,0.0,1.0,5.899419017678913
7498.43,7491.93,7498.43,7491.35,4.579010000000001,7.034124999999999,-1.0,7493.41,48.239174064030024,0.0,1.0,5.9837462307018425
7491.7,7494.2,7495.0,7491.51,3.0729319999999984,10.530915999999996,1.0,7493.7275,50.79098529202365,0.0,1.0,5.805621499937409
7493.92,7496.48,7498.87,7493.91,7.756292999999999,1.3272799999999998,1.0,7496.4349999999995,53.28226667616058,0.0,1.0,5.745219964227597
7496.1,7494.53,7498.72,7494.53,4.306845999999996,38.172931,-1.0,7495.577499999999,50.90842253513084,0.0,1.0,5.634132823925662
7494.53,7501.9,7503.74,7493.78,29.14232400000001,11.873486999999988,1.0,7500.33,58.444062689664676,0.0,1.0,5.943123336502403
7501.51,7502.6,7503.94,7500.0,8.564604000000005,5.404291000000001,1.0,7502.285,59.0864479763669,0.0,1.0,5.800043098180773
