Open,Close,Buy,Sell,DirVela,Avg,Rsi,RsiOver,MacdDif,Atr
7523.8,7525.03,10.316010999999998,9.403775000000005,1.0,7524.724999999999,,0.0,-1.0,
7525.02,7524.49,3.6273519999999997,4.785116000000002,-1.0,7524.8949999999995,,0.0,-1.0,
7525.29,7531.15,8.342803,2.3122489999999996,1.0,7528.055,,0.0,-1.0,
7531.28,7532.2,4.542238999999999,16.52635300000001,1.0,7531.782499999999,,0.0,-1.0,
7532.27,7533.88,13.034591000000031,17.232424999999996,1.0,7533.3575,,0.0,-1.0,
7533.88,7536.36,4.666016000000002,3.749665000000002,1.0,7535.3225,,0.0,-1.0,
7536.16,7536.25,3.239562999999999,4.801441,1.0,7536.3225,,0.0,-1.0,
7536.26,7534.61,6.0599700000000025,26.391150999999976,-1.0,7535.475,,0.0,-1.0,
7534.68,7534.33,3.3735159999999995,6.994878000000001,-1.0,7534.5599999999995,,0.0,-1.0,
7534.35,7534.38,2.560487,3.0113389999999995,1.0,7534.380000000001,,0.0,-1.0,
7534.38,7536.01,3.6548500000000015,5.217862,1.0,7535.195000000001,,0.0,-1.0,
7535.66,7536.12,1.1183669999999999,5.255616999999999,1.0,7535.992499999999,,0.0,-1.0,
7536.12,7536.52,2.5349500000000003,2.691626999999999,1.0,7536.3125,,0.0,-1.0,
7536.33,7536.98,8.067121,5.471217,1.0,7537.105,,0.0,-1.0,
7537.0,7537.1,2.4908580000000002,2.556635,1.0,7537.254999999999,85.06682161534164,1.0,-1.0,2.0214285714285194
7537.11,7537.92,1.6006850000000004,4.180997999999998,1.0,7537.73,85.79567195272449,1.0,-1.0,1.9977551020407396
7538.0,7537.47,1.8114620000000001,8.871696999999992,-1.0,7537.85,83.3902852256748,1.0,-1.0,1.9957725947521336
7537.76,7537.0,1.7471920000000003,3.1460719999999998,-1.0,7537.375,80.84098403362081,1.0,-1.0,1.908931695127028
7536.99,7536.98,5.635936000000001,3.8066650000000006,-1.0,7537.657499999999,80.72788833093453,1.0,-1.0,1.965436574046578
7537.8,7537.0,1.9838989999999999,10.477803999999995,-1.0,7537.162499999999,80.75688009763982,1.0,-1.0,1.990048247328929
7537.26,7537.15,1.9494770000000006,3.3589900000000017,-1.0,7537.3375,80.98788529462013,1.0,-1.0,2.040759086805421
7537.16,7537.68,3.7971600000000008,3.6746139999999996,1.0,7537.4975,81.81840060486572,1.0,-1.0,1.9557048663193457
7538.0,7539.02,6.717636999999997,8.650501999999998,1.0,7538.63,83.75106215534572,1.0,-1.0,1.9802973758679119
7539.7,7543.13,10.182405000000001,8.271695999999999,1.0,7541.46,87.97365413559591,1.0,-1.0,2.195276134734474
7543.66,7544.0,2.4906119999999996,3.8816070000000003,1.0,7543.91,88.64625203200379,1.0,-1.0,2.1698992679677365
7544.0,7547.65,10.844796000000002,7.855581000000001,1.0,7545.9125,90.93647281778816,1.0,-1.0,2.300620748827184
7547.55,7547.15,6.508902999999998,9.069141000000005,-1.0,7546.9574999999995,88.30860832750666,1.0,-1.0,2.3412906953395205
7547.11,7547.51,27.751631000000003,6.506456,1.0,7547.9,88.56483508080426,1.0,-1.0,2.3897699313867284
7547.21,7544.71,3.413584,11.428980999999997,-1.0,7546.3949999999995,74.82864321926101,1.0,-1.0,2.623357793430523
7544.71,7544.69,14.652282999999994,7.343306999999996,-1.0,7544.8425,74.73947466635992,1.0,-1.0,2.576689379614075
7544.15,7543.46,10.245319999999978,5.146595000000001,-1.0,7543.897499999999,69.27229643625287,1.0,-1.0,2.4926401382130434
7543.46,7541.02,5.980636999999997,11.625221000000005,-1.0,7541.9875,59.910008928806135,0.0,-1.0,2.56245155691213
7540.62,7539.24,4.470513000000002,9.768323,-1.0,7540.159999999999,54.159432821148634,0.0,-1.0,2.5779907314183883
7539.24,7538.6,2.7569399999999984,16.60823800000001,-1.0,7538.8375,52.21862704814303,0.0,-1.0,2.540277107745659
7538.99,7539.66,9.587878,3.3562859999999994,1.0,7539.3099999999995,55.089204630236935,0.0,-1.0,2.459543028620959
7539.62,7539.29,2.4276509999999996,5.2609929999999965,-1.0,7539.5425,53.87257348873601,0.0,-1.0,2.4238613837194647
7539.3,7539.62,6.3648,3.4605990000000006,1.0,7539.6325,54.83072123371669,0.0,-1.0,2.3442998563109603
7539.59,7539.78,5.223739000000002,7.541926999999997,1.0,7539.835,55.315364521044565,0.0,-1.0,2.244707009431593
7539.78,7542.35,16.591333999999993,3.27989,1.0,7541.3075,62.31051515640824,0.0,-1.0,2.3757993659007597
7542.42,7541.15,0.678886,18.434547,-1.0,7541.8375,57.763512073932525,0.0,-1.0,2.4718136969078666
7541.38,7538.59,3.1334270000000006,2.8384669999999996,-1.0,7540.070000000001,49.46982437293953,0.0,-1.0,2.5188270042715986
7538.87,7537.27,8.174656000000004,2.4434629999999986,-1.0,7538.072499999999,45.81691747666431,0.0,-1.0,2.4710536468236532
7537.15,7535.15,22.99200000000001,15.296423000000011,-1.0,7535.540000000001,40.62806857175153,0.0,-1.0,2.7745498149076964
7535.04,7533.69,6.175071000000002,7.581122,-1.0,7533.8525,37.4799850579264,0.0,-1.0,2.8349391138428532
7533.65,7533.98,3.308756,5.249852,1.0,7533.915000000001,38.49934978361667,0.0,-1.0,2.7517291771397976
7533.97,7532.52,3.946267000000003,6.413955999999993,-1.0,7533.115000000001,35.37244174326904,0.0,-1.0,2.6966056644869236
7532.24,7527.86,7.256630000000002,10.368424000000003,-1.0,7529.67,27.652502269623568,-1.0,-1.0,3.0182766884521954
