p1,p2,p3,p4,p5,p6,p7,p8,rsi,rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,rsi7,sto,sto1,sto2,sto3,sto4,sto5,sto6,sto7,macd,macd1,macd2,macd3,macd4,macd5,macd6,macd7,macdl,macd1l,macd2l,macd3l,macd4l,macd5l,macd6l,macd7l,macds,macd1s,macd2s,macd3s,macd4s,macd5s,macd6s,macd7s,stol,sto1l,sto2l,sto3l,sto4l,sto5l,sto6l,sto7l,stos,sto1s,sto2s,sto3s,sto4s,sto5s,sto6s,sto7s,Pred
8.9475e-06,8.928333333333334e-06,8.87e-06,8.848333333333333e-06,8.82e-06,8.7875e-06,8.810833333333332e-06,8.9028125e-06,60.465945845414225,53.7362073527876,44.536718093501314,43.403553666341494,42.46393820183435,39.98030347099717,44.20289080811496,57.67410073301545,25.172948735497087,-20.99315895940068,-10.78796695504884,24.6491601934082,-8.692332214103779,-14.38879006480409,31.76529541883297,-12.338148649571192,-6.228620075299456e-09,-6.808262773080911e-09,-1.3439276729323024e-08,-1.7997773835735917e-08,-1.5355377603415742e-08,-1.3613105679792553e-08,-7.911884444992009e-09,9.362914389053787e-09,3.456736325958306e-08,2.9651801093424213e-08,1.4939884976483758e-08,-2.8436087039716265e-09,-1.2223721956169087e-08,-2.113157544926498e-08,-2.327159539088097e-08,1.2514058586996639e-09,4.0795983334882524e-08,3.6460063866505123e-08,2.8379161705806787e-08,1.5154165131764294e-08,3.131655647246659e-09,-7.518469769472425e-09,-1.5359710945888958e-08,-8.111508530354124e-09,71.92231017844384,19.70607424679396,2.4138382911849915e-14,52.56154333629517,42.87299813256264,4.704113743501027,66.66666666666673,75.48555405128644,46.749361442946736,40.69923320619464,10.787966955048866,27.912383142886988,51.56533034666642,19.09290380830512,34.901371247833765,87.82370270085762,0
9.4e-06,9.395e-06,9.403125e-06,9.401875e-06,9.3075e-06,9.106875e-06,9.14e-06,9.1335e-06,36.947309423900926,39.11455928394649,40.872012154176524,42.03357281269797,31.801476748659827,27.29242148355059,37.493878385553295,38.708543980900544,-18.632250918189897,18.63225091818989,-12.490157150148189,4.156823816814819,-16.66666666666669,24.999999999999986,-8.333333333333355,1.597409287831353,1.1238739307807076e-08,1.0664590650713123e-08,1.2155313027412923e-08,1.0446265383575058e-08,6.011035069832702e-10,-2.552149143135581e-08,-1.1844387945012214e-08,4.432849651735506e-09,-6.725363583282717e-08,-5.7382968997918025e-08,-4.3823968284344334e-08,-3.465923013668569e-08,-3.7997550859362474e-08,-8.188775303227402e-08,-8.666879425746121e-08,-6.932265791963585e-08,-7.849237514063425e-08,-6.804755964863113e-08,-5.597928131175724e-08,-4.5105495520260753e-08,-3.8598654366345736e-08,-5.636626160091821e-08,-7.4824406312449e-08,-7.375550757137138e-08,35.754309774123456,67.07315916922487,52.11794635491985,35.651305379171184,6.235555781580731,50.0,71.50084659791301,57.037962545249975,54.38656069231336,48.44090825103496,64.60810350506803,31.494481562356373,22.902222448247414,25.000000000000014,79.83417993124638,55.440553257418635,0
1.0364375e-05,1.0404375e-05,1.0331875e-05,1.028e-05,1.0219375e-05,1.0214375e-05,1.0238125e-05,1.0247e-05,53.51108238989064,54.23066961505661,50.724150663559406,46.51144048807085,43.40245613165493,44.761626117400496,47.644302292543934,49.19742199763716,2.2923846325620287,-15.585912211308887,3.854673528823069,-7.526422897861162,9.219232913563367,6.166393183484798,9.614373902951789,-1.456612608308205e-14,-5.021634091857467e-08,-2.7769895106531383e-08,-2.5738018089665403e-08,-2.6425598604488225e-08,-2.6511754543251278e-08,-1.8926845359231906e-08,-5.907291296986591e-09,2.7565406236449147e-09,8.0666389993218e-08,6.82785764643901e-08,4.427483551828933e-08,1.778663217753542e-08,-8.946450028532064e-09,-2.4653429616695784e-08,-2.2206711290424588e-08,-1.2196881052731358e-08,1.3088273091179266e-07,9.604847157092148e-08,7.001285360795472e-08,4.421223078202365e-08,1.7565304514719214e-08,-5.726584257463877e-09,-1.6299419993437997e-08,-1.495342167637627e-08,50.23336977578038,43.95031602401053,11.289634346791726,4.736031875211643,33.76015658924477,70.35757829076088,92.87552108517609,61.32553616571066,47.94098514321835,59.53622823531942,7.434960817968656,12.262454773072806,24.54092367568141,64.19118510727608,83.26114718222429,61.32553616571068,0
9.145e-06,9.151875e-06,9.143125e-06,9.2075e-06,9.20125e-06,9.215e-06,9.2575e-06,9.255e-06,42.33086433986856,44.85009563051448,43.896944092862455,54.95322102271351,53.179472323456004,54.74486900150347,61.56505974252158,55.355895004441784,12.152188172487547,-2.2901053112310685,-11.772424136543258,19.286023468260748,-17.873403818962604,10.964877723537333,6.908526095425295,-8.713374360145666,-1.3065172177095134e-08,-6.954115181648779e-09,-3.408964286896113e-09,4.70307835415937e-09,7.372498489164609e-09,5.215667934262923e-09,7.0919498069155695e-09,1.991003336213463e-09,-9.709208763419398e-09,-1.2750435133842637e-08,-1.3679055853402543e-08,-4.729575829425207e-09,5.526832183790605e-09,9.181223005808128e-09,1.7189545616073004e-08,1.993160869190012e-08,3.3559634136757364e-09,-5.796319952193856e-09,-1.027009156650643e-08,-9.432654183584576e-09,-1.8456663053740026e-09,3.9655550715452055e-09,1.0097595809157434e-08,1.7940605355686652e-08,48.05005573271157,71.16139608875012,34.47420158589634,100.0,24.543218616955837,70.88229644607787,99.99999999999996,16.558800287435623,35.89786756022402,73.4515013999812,46.2466257224396,80.71397653173926,42.416622435918434,59.91741872254055,93.09147390457466,25.27217464758129,0
1.0114166666666667e-05,1.0090833333333333e-05,1.0105e-05,1.00875e-05,1.0090833333333333e-05,1.0095e-05,1.01075e-05,1.02071875e-05,47.93020125140225,44.3160671167545,47.978264088061884,43.218544118104724,46.406781528202934,48.49548185991554,51.5949072292361,63.585711650213845,11.375702175062996,-1.5172001817379386,-24.23360796987141,-7.582525181724027,20.613202064135187,7.788596094480213,4.931535174717932,-11.564001224554383,8.742429677195115e-09,5.5769558978218375e-09,6.858207481848864e-09,2.909271533717857e-09,1.9198180874485867e-09,2.474077271003874e-09,4.2891198356971734e-09,1.36918923216282e-08,-1.945732841129695e-08,-1.7759144254672407e-08,-1.1240722298650382e-08,-1.1920106198949965e-08,-1.1503802684719244e-08,-9.34658643339909e-09,-4.770240876685574e-09,2.0680581855677597e-08,-2.8199758088492066e-08,-2.3336100152494243e-08,-1.8098929780499246e-08,-1.4829377732667822e-08,-1.3423620772167829e-08,-1.1820663704402964e-08,-9.05936071238275e-09,6.988689534049394e-09,100.0,62.115066121452905,55.95790210484816,0.0,80.9198030962028,85.20539447584622,100.0,54.23733108807959,88.624297824937,63.63226630319085,80.19151007471956,7.582525181724027,60.306601032067604,77.41679838136602,95.06846482528208,65.80133231263399,0
8.626666666666667e-06,8.606666666666667e-06,8.593333333333333e-06,8.57e-06,8.565e-06,8.550833333333333e-06,8.549166666666666e-06,8.555416666666666e-06,67.68778361094668,60.78327009000662,57.568359425780656,52.293676985264796,50.26095638951435,49.75301168574693,49.79858847869424,51.23647135685268,2.4773736761407883,-25.56551628375424,-2.9605947323337513e-15,15.905597618870836,-2.983858831652137,9.367552922885286,-0.1939114105141447,0.06342096131622081,1.711285876356908e-08,9.907374024074978e-09,1.1797083195756365e-09,-6.951855100775685e-09,-9.483990888188736e-09,-9.496525433907321e-09,-7.426484998847104e-09,-3.4440426929007353e-09,4.024599815905442e-08,4.281376579690239e-08,3.712809044717079e-08,2.550881521138785e-08,1.639786945830034e-08,8.894200484642212e-09,4.8464189460578445e-09,3.680472640158376e-09,2.3133139395485325e-08,3.290639177282741e-08,3.594838212759515e-08,3.246067031216353e-08,2.5881860346489072e-08,1.839072591854953e-08,1.2272903944904951e-08,7.124515333059111e-09,53.393097702525615,2.5209337304860857e-14,4.540328860038347,23.858396428306225,43.513309294719264,50.68731218296791,50.36567394736333,61.53305889377799,50.91572402638483,25.565516283754267,4.540328860038349,7.952798809435394,46.497168126371406,41.31975926008262,50.559585357877474,61.46963793246178,0
8.776666666666667e-06,8.784166666666668e-06,8.800833333333334e-06,8.775e-06,8.7725e-06,8.795e-06,8.7975e-06,8.788333333333334e-06,43.90028270241685,45.19447607266096,52.28256795129129,45.635853311168425,45.68457694124693,52.028269576549604,52.02826957654962,49.07791638160509,-32.91811578509042,22.222222222222207,11.111111111111107,-10.035217380388461,-1.4574000491724433,11.492617429560894,-22.22222222222223,-3.552713678800501e-15,2.728437020934541e-10,1.801484422049981e-10,4.490081169168946e-09,1.944852405566766e-09,2.4016432473711384e-10,3.33945039300788e-09,4.124071263544637e-09,1.5981328029088979e-09,-1.4510843103935543e-08,-1.4691041776252104e-08,-8.13749468751896e-09,-8.423314463086188e-09,-9.479951492563511e-09,-4.784645994841784e-09,-9.524363832522472e-10,-7.280317391755683e-10,-1.4783686806028995e-08,-1.48711902184571e-08,-1.2627575856687906e-08,-1.0368166868652954e-08,-9.720115817300627e-09,-8.124096387849665e-09,-5.076507646796884e-09,-2.3261645420844667e-09,18.407591158861408,33.333333333333336,100.0,41.139102388174564,45.832236377645714,100.0,66.66666666666667,33.333333333333336,51.325706943951815,11.11111111111112,88.8888888888889,51.174319768563024,47.28963642681815,88.50738257043909,88.8888888888889,33.333333333333336,0
1.0185833333333335e-05,1.0171666666666666e-05,1.0055e-05,1.007e-05,1.004e-05,1.0023333333333334e-05,1.0046666666666666e-05,1.0027916666666666e-05,46.45726499216155,45.428803164514676,28.229584271514245,37.37403708999772,34.7189097483423,34.77375889592867,41.872708707861094,41.06990140086399,-30.67391578669807,-1.960893994783518,-0.698523551851777,28.26345843611712,-6.661795728642166,-11.11193527794348,12.962638870667995,-0.3954880538321296,2.150292340641431e-09,3.689865753683137e-10,-1.2824459363068418e-08,-1.3506005851102623e-08,-1.051116313407775e-08,-6.588299673768951e-09,-4.592709653624683e-10,1.8374499670642346e-09,-1.0367042191464341e-10,-1.051969527495013e-09,-1.994855329461739e-08,-3.171446661314013e-08,-3.7323550272863756e-08,-3.912348323799416e-08,-3.51505377067242e-08,-3.141975204373588e-08,-2.2539627625560744e-09,-1.4209561028633267e-09,-7.124093931548972e-09,-1.8208460762037503e-08,-2.6812387138786004e-08,-3.253518356422521e-08,-3.469126674136173e-08,-3.325720201080011e-08,15.956505279811635,12.064078970853512,0.0,85.1539037784194,53.6367528076131,49.067924477630605,85.1785494502993,57.862641718455706,46.630421066509705,14.024972965637033,0.698523551851777,56.89044534230229,60.298548536255254,60.17985975557409,72.21591057963131,58.25812977228782,0
1.0395e-05,1.0379166666666667e-05,1.03275e-05,1.0358333333333334e-05,1.0351666666666666e-05,1.03425e-05,1.0286666666666666e-05,1.0167083333333333e-05,43.61327667634345,40.15206904246646,36.79174670342206,45.472097916132014,44.85094615962218,43.6869180433943,38.26616101140297,31.618997827515887,5.792133145689614,5.318977965421482,13.679207074989836,8.543015147232381,-11.111111111111107,-19.858226499962033,3.2111220240982004,10.593506282816504,7.129243033450352e-09,3.379981877044811e-09,-2.685452282657618e-09,9.970292894240932e-10,2.514663192033799e-09,2.27321671044283e-09,-4.695277912041011e-09,-1.6550367217395602e-08,-1.6305020169974832e-08,-1.6462115740418825e-08,-2.3462097206650247e-08,-2.0136196595016266e-08,-1.687047083388321e-08,-1.4725721325464147e-08,-2.3587620996121682e-08,-5.0575086667972335e-08,-2.343426320342518e-08,-1.9842097617463637e-08,-2.077664492399263e-08,-2.1133225884440358e-08,-1.938513402591701e-08,-1.6998938035906983e-08,-1.889234308408067e-08,-3.4024719450576736e-08,23.954672724369914,38.8531027662554,43.847456888071335,95.53694513237042,51.64226071279973,40.42532050011393,21.10069686107952,30.845997706858252,18.16253957868029,33.534124800833915,30.1682498130815,86.99392998513805,62.753371823910825,60.28354700007596,17.889574836981314,20.25249142404175,0
1.38325e-05,1.356875e-05,1.37375e-05,1.399125e-05,1.390875e-05,1.3913125e-05,1.35475e-05,1.3497954545454545e-05,40.82933519888361,35.99339852419719,44.590871002686356,52.18423266564665,50.53246063796495,49.17174322628278,40.69485580034804,41.073523318538655,-8.333333333333334,17.1737678084253,7.826232191574688,-16.666666666666664,10.824630013257892,-18.02318944955446,16.787616944180538,1.3247159240018174,-9.418775154434153e-08,-1.128493369196831e-07,-5.457852839200752e-08,1.8569663544630967e-08,1.9933901646648265e-08,1.7956895076089532e-08,-3.4581846123609644e-08,-2.1855422535562152e-08,4.1724012216932146e-08,-8.776290049357872e-08,-1.1129115272892881e-07,-4.220131007788943e-08,-1.9864448057005538e-08,1.0693568970012097e-09,-6.824124290488988e-08,-1.047217878894757e-07,1.3591176376127363e-07,2.5086436426104385e-08,-5.671262433692128e-08,-6.07709736225204e-08,-3.97983497036538e-08,-1.6887538179088322e-08,-3.365939678128025e-08,-8.286636535391356e-08,0.0,26.521303425275907,92.22012282208875,68.23492634988999,43.61146679962721,33.15811769914509,36.236806019150826,54.84531066137565,8.333333333333334,9.3475356168506,84.39389063051408,84.90159301655666,32.78683678636932,51.18130714869955,19.449189074970285,53.52059473737383,0
